asset,date,exit_time,direction,entry_price,stop_price,target_price,exit_price,r_pnl,reason
NQ,2022-07-04,2022-07-04 18:05:00,LONG,11569.260416666666,11563.5625,11596.25,11596.25,4.73674588665509,TARGET
NQ,2022-07-06,2022-07-06 09:30:00,LONG,11731.96875,11703.3125,11873.75,11873.75,4.947655398037077,TARGET
NQ,2022-07-12,2022-07-12 07:40:00,SHORT,11880.447916666666,11905.1875,11758.25,11905.1875,-1.0,STOP
NQ,2022-07-13,2022-07-13 08:35:00,SHORT,11740.4375,11790.375,11492.25,11492.25,4.969962453066333,TARGET
NQ,2022-07-15,2022-07-15 08:30:00,LONG,11773.302083333334,11754.0625,11868.0,11754.0625,-1.0,STOP
NQ,2022-07-20,2022-07-20 10:20:00,LONG,12237.916666666666,12213.5,12358.5,12358.5,4.938566552901172,TARGET
NQ,2022-07-21,2022-07-21 16:15:00,LONG,12586.645833333334,12572.625,12655.25,12572.625,-1.0,STOP
NQ,2022-07-26,2022-07-26 16:05:00,SHORT,12119.145833333334,12128.875,12072.0,12128.875,-1.0,STOP
NQ,2022-08-05,2022-08-05 06:00:00,LONG,13319.541666666666,13306.25,13384.5,13306.25,-1.0,STOP
NQ,2022-08-08,2022-08-08 09:05:00,LONG,13269.875,13253.75,13349.0,13253.75,-1.0,STOP
NQ,2022-08-10,2022-08-10 08:30:00,LONG,13087.125,13075.0,13146.25,13146.25,4.876288659793815,TARGET
NQ,2022-08-15,2022-08-15 03:10:00,LONG,13530.895833333334,13520.125,13583.25,13520.125,-1.0,STOP
NQ,2022-08-23,2022-08-23 03:25:00,SHORT,12911.114583333334,12928.9375,12823.5,12928.9375,-1.0,STOP
NQ,2022-08-24,2022-08-24 03:10:00,SHORT,12891.729166666666,12904.125,12831.25,12904.125,-1.0,STOP
NQ,2022-08-25,2022-08-25 02:45:00,LONG,12990.46875,12971.3125,13084.75,13084.75,4.921696574225122,TARGET
NQ,2022-08-26,2022-08-26 04:00:00,LONG,13113.583333333334,13102.25,13168.75,13102.25,-1.0,STOP
NQ,2022-08-30,2022-08-30 08:30:00,LONG,12584.75,12569.75,12658.25,12569.75,-1.0,STOP
NQ,2022-09-05,2022-09-05 18:40:00,LONG,12156.864583333334,12151.6875,12181.25,12181.25,4.71026156941583,TARGET
NQ,2022-09-07,2022-09-07 01:05:00,SHORT,11978.125,11989.75,11921.5,11989.75,-1.0,STOP
NQ,2022-09-08,2022-09-08 03:30:00,LONG,12253.21875,12237.0625,12332.5,12237.0625,-1.0,STOP
NQ,2022-09-12,2022-09-12 04:40:00,LONG,12583.614583333334,12564.1875,12679.25,12679.25,4.922788203753166,TARGET
NQ,2022-09-13,2022-09-13 08:35:00,LONG,12753.9375,12726.625,12889.0,12726.625,-1.0,STOP
NQ,2022-09-14,2022-09-14 21:20:00,LONG,12222.489583333334,12212.9375,12268.75,12212.9375,-1.0,STOP
NQ,2022-09-18,2022-09-18 18:05:00,LONG,11912.020833333334,11901.875,11961.25,11901.875,-1.0,STOP
NQ,2022-09-20,2022-09-20 04:10:00,LONG,11996.5,11977.0,12092.5,11977.0,-1.0,STOP
NQ,2022-09-22,2022-09-22 10:55:00,SHORT,11780.895833333334,11827.375,11550.0,11550.0,4.9677274764680295,TARGET
NQ,2022-09-23,2022-09-23 02:05:00,SHORT,11544.59375,11553.8125,11500.0,11553.8125,-1.0,STOP
NQ,2022-09-26,2022-09-26 19:50:00,SHORT,11343.364583333334,11354.1875,11290.75,11354.1875,-1.0,STOP
NQ,2022-09-28,2022-09-28 08:40:00,SHORT,11287.65625,11317.1875,11141.5,11317.1875,-1.0,STOP
NQ,2022-10-03,2022-10-03 09:10:00,SHORT,11089.40625,11129.4375,10890.75,11129.4375,-1.0,STOP
NQ,2022-10-05,2022-10-05 04:45:00,SHORT,11546.614583333334,11554.4375,11509.0,11554.4375,-1.0,STOP
NQ,2022-10-06,2022-10-06 03:00:00,LONG,11642.604166666666,11624.875,11729.75,11624.875,-1.0,STOP
NQ,2022-10-07,2022-10-07 02:20:00,SHORT,11558.541666666666,11575.25,11476.5,11476.5,4.910224438902529,TARGET
NQ,2022-10-10,2022-10-10 08:55:00,SHORT,11097.364583333334,11119.9375,10986.0,11119.9375,-1.0,STOP
NQ,2022-10-11,2022-10-11 03:25:00,SHORT,10924.510416666666,10939.0625,10853.25,10939.0625,-1.0,STOP
NQ,2022-10-13,2022-10-13 03:15:00,SHORT,10834.09375,10840.5625,10803.25,10840.5625,-1.0,STOP
NQ,2022-10-14,2022-10-14 08:50:00,LONG,11012.958333333334,10978.25,11185.0,11185.0,4.95678271308513,TARGET
NQ,2022-10-17,2022-10-17 03:00:00,SHORT,10842.489583333334,10868.6875,10713.0,10868.6875,-1.0,STOP
NQ,2022-10-20,2022-10-20 01:10:00,SHORT,11090.979166666666,11107.875,11008.0,11107.875,-1.0,STOP
NQ,2022-10-21,2022-10-21 09:45:00,SHORT,11083.270833333334,11113.125,10935.5,11113.125,-1.0,STOP
NQ,2022-10-24,2022-10-24 04:20:00,LONG,11321.541666666666,11279.5,11530.25,11279.5,-1.0,STOP
NQ,2022-10-25,2022-10-25 16:05:00,LONG,11684.5625,11674.375,11734.0,11674.375,-1.0,STOP
NQ,2022-10-26,2022-10-26 19:30:00,SHORT,11486.104166666666,11500.625,11415.0,11500.625,-1.0,STOP
NQ,2022-10-27,2022-10-27 16:05:00,SHORT,11243.864583333334,11281.1875,11058.75,11058.75,4.959810214903809,TARGET
NQ,2022-10-31,2022-10-31 04:05:00,LONG,11525.989583333334,11505.6875,11626.0,11505.6875,-1.0,STOP
NQ,2022-11-02,2022-11-02 09:30:00,SHORT,11374.177083333334,11391.5625,11288.75,11288.75,4.913720790892956,TARGET
NQ,2022-11-04,2022-11-04 00:10:00,SHORT,10742.8125,10753.125,10692.75,10753.125,-1.0,STOP
NQ,2022-11-08,2022-11-08 00:10:00,LONG,11003.072916666666,10990.6875,11063.5,10990.6875,-1.0,STOP
NQ,2022-11-10,2022-11-10 08:40:00,LONG,11037.177083333334,10992.3125,11260.0,11260.0,4.9665660552588005,TARGET
NQ,2022-11-21,2022-11-21 09:20:00,SHORT,11653.854166666666,11665.875,11595.25,11665.875,-1.0,STOP
NQ,2022-11-22,2022-11-22 04:30:00,SHORT,11578.90625,11589.6875,11526.5,11589.6875,-1.0,STOP
NQ,2022-11-25,2022-11-25 01:45:00,SHORT,11903.34375,11905.3125,11895.0,11905.3125,-1.0,STOP
NQ,2022-12-02,2022-12-02 15:00:00,SHORT,11951.239583333334,11993.6875,11740.5,11993.6875,-1.0,STOP
NQ,2022-12-07,2022-12-07 22:05:00,SHORT,11471.447916666666,11479.4375,11433.0,11479.4375,-1.0,STOP
NQ,2022-12-09,2022-12-09 08:35:00,LONG,11652.9375,11633.625,11748.0,11633.625,-1.0,STOP
NQ,2022-12-12,2022-12-12 04:45:00,SHORT,11580.260416666666,11592.0625,11522.75,11592.0625,-1.0,STOP
NQ,2022-12-20,2022-12-20 10:00:00,SHORT,11164.135416666666,11188.5625,11043.5,11188.5625,-1.0,STOP
NQ,2022-12-21,2022-12-21 03:10:00,LONG,11212.489583333334,11201.9375,11263.75,11201.9375,-1.0,STOP
NQ,2022-12-27,2022-12-27 08:40:00,LONG,11077.958333333334,11056.5,11183.75,11056.5,-1.0,STOP
NQ,2022-12-27,2022-12-27 20:55:00,SHORT,10928.333333333334,10936.0,10891.5,10936.0,-1.0,STOP
NQ,2023-01-02,2023-01-02 20:05:00,LONG,10998.583333333334,10968.0,11150.0,10968.0,-1.0,STOP
NQ,2023-01-06,2023-01-06 08:15:00,SHORT,10825.71875,10835.5625,10778.0,10778.0,4.847619047619047,TARGET
