ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,bias_score,bias_notes,condition,expectation,invalidation,weekly_override,planned_r_multiple,horizon,outcome,exit_price,ambiguous,rej_move_away,rej_retest_count,rej_quality
1739782800,2025-02-17T04:00:00-05:00,OS,after_formed,short,6138.5,6140.5,6120.839395701599,-1.0,1,cluster_rej,perfect rejection + box down,THEN expect rotation toward 6120.84.,"IF price breaks 6140.50, THEN short thesis invalid.",False,8.830302149200634,session,stop,6140.5,False,0.25,2.0,dirty
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,5,"perfect_rej_align,rej_bias_align,cluster_rej,weekly_rej_resistance,confirm_short",rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,4.036877955659697,1h,stop,6139.0,False,2.0,2.0,mixed
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,5,"perfect_rej_align,rej_bias_align,cluster_rej,weekly_rej_resistance,confirm_short",rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,4.036877955659697,2h,stop,6139.0,False,2.0,2.0,mixed
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,5,"perfect_rej_align,rej_bias_align,cluster_rej,weekly_rej_resistance,confirm_short",rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,4.036877955659697,4h,stop,6139.0,False,2.0,2.0,mixed
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,5,"perfect_rej_align,rej_bias_align,cluster_rej,weekly_rej_resistance,confirm_short",rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,4.036877955659697,session,stop,6139.0,False,2.0,2.0,mixed
1739543700,2025-02-14T09:35:00-05:00,RR,m7,long,6137.75,6133.0,6153.9674612581975,-0.3684210526315789,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,3.414202370146852,1h,timeout,6136.0,False,7.25,5.0,dirty
1739543700,2025-02-14T09:35:00-05:00,RR,m7,long,6137.75,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,3.414202370146852,2h,stop,6133.0,False,7.25,5.0,dirty
1739543700,2025-02-14T09:35:00-05:00,RR,m7,long,6137.75,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,3.414202370146852,4h,stop,6133.0,False,7.25,5.0,dirty
1739543700,2025-02-14T09:35:00-05:00,RR,m7,long,6137.75,6133.0,6153.9674612581975,0.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,3.414202370146852,session,timeout,6137.75,False,7.25,5.0,dirty
1739544000,2025-02-14T09:40:00-05:00,RR,m7,long,6139.0,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.4945768763662577,1h,stop,6133.0,False,6.25,4.0,dirty
1739544000,2025-02-14T09:40:00-05:00,RR,m7,long,6139.0,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.4945768763662577,2h,stop,6133.0,False,6.25,4.0,dirty
1739544000,2025-02-14T09:40:00-05:00,RR,m7,long,6139.0,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.4945768763662577,4h,stop,6133.0,False,6.25,4.0,dirty
1739544000,2025-02-14T09:40:00-05:00,RR,m7,long,6139.0,6133.0,6153.9674612581975,-0.20833333333333334,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.4945768763662577,session,timeout,6137.75,False,6.25,4.0,dirty
1739544300,2025-02-14T09:45:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,1h,stop,6133.0,False,5.75,5.0,dirty
1739544300,2025-02-14T09:45:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,2h,stop,6133.0,False,5.75,5.0,dirty
1739544300,2025-02-14T09:45:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,4h,stop,6133.0,False,5.75,5.0,dirty
1739544300,2025-02-14T09:45:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-0.2692307692307692,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,session,timeout,6137.75,False,5.75,5.0,dirty
1739544600,2025-02-14T09:50:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,1h,stop,6133.0,False,5.75,5.0,dirty
1739544600,2025-02-14T09:50:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,2h,stop,6133.0,False,5.75,5.0,dirty
1739544600,2025-02-14T09:50:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,4h,stop,6133.0,False,5.75,5.0,dirty
1739544600,2025-02-14T09:50:00-05:00,RR,frontrun,long,6139.5,6133.0,6153.9674612581975,-0.2692307692307692,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.22576327049193,session,timeout,6137.75,False,5.75,5.0,dirty
1739544900,2025-02-14T09:55:00-05:00,RR,frontrun,long,6140.0,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.995351608313935,1h,stop,6133.0,False,5.25,6.0,dirty
1739544900,2025-02-14T09:55:00-05:00,RR,frontrun,long,6140.0,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.995351608313935,2h,stop,6133.0,False,5.25,6.0,dirty
1739544900,2025-02-14T09:55:00-05:00,RR,frontrun,long,6140.0,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.995351608313935,4h,stop,6133.0,False,5.25,6.0,dirty
1739544900,2025-02-14T09:55:00-05:00,RR,frontrun,long,6140.0,6133.0,6153.9674612581975,-0.32142857142857145,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.995351608313935,session,timeout,6137.75,False,5.25,6.0,dirty
1739545200,2025-02-14T10:00:00-05:00,RR,frontrun,long,6141.25,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.5415104555390964,1h,stop,6133.0,False,4.0,4.0,dirty
1739545200,2025-02-14T10:00:00-05:00,RR,frontrun,long,6141.25,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.5415104555390964,2h,stop,6133.0,False,4.0,4.0,dirty
1739545200,2025-02-14T10:00:00-05:00,RR,frontrun,long,6141.25,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.5415104555390964,4h,stop,6133.0,False,4.0,4.0,dirty
1739545200,2025-02-14T10:00:00-05:00,RR,frontrun,long,6141.25,6133.0,6153.9674612581975,-0.42424242424242425,3,"cluster_rej,weekly_rej_support,confirm_long",box up + bias,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1.5415104555390964,session,timeout,6137.75,False,4.0,4.0,dirty
1739546100,2025-02-14T10:15:00-05:00,RR,frontrun,long,6138.25,6133.0,6153.9674612581975,-1.0,4,"rej_bias_align,cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.99380214441858,1h,stop,6133.0,False,3.25,5.0,dirty
1739546100,2025-02-14T10:15:00-05:00,RR,frontrun,long,6138.25,6133.0,6153.9674612581975,-1.0,4,"rej_bias_align,cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.99380214441858,2h,stop,6133.0,False,3.25,5.0,dirty
1739546100,2025-02-14T10:15:00-05:00,RR,frontrun,long,6138.25,6133.0,6153.9674612581975,-1.0,4,"rej_bias_align,cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.99380214441858,4h,stop,6133.0,False,3.25,5.0,dirty
1739546100,2025-02-14T10:15:00-05:00,RR,frontrun,long,6138.25,6133.0,6153.9674612581975,-0.09523809523809523,4,"rej_bias_align,cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.99380214441858,session,timeout,6137.75,False,3.25,5.0,dirty
1739546400,2025-02-14T10:20:00-05:00,RR,frontrun,long,6139.75,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.1062905567700065,1h,stop,6133.0,False,1.75,4.0,dirty
1739546400,2025-02-14T10:20:00-05:00,RR,frontrun,long,6139.75,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.1062905567700065,2h,stop,6133.0,False,1.75,4.0,dirty
1739546400,2025-02-14T10:20:00-05:00,RR,frontrun,long,6139.75,6133.0,6153.9674612581975,-1.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.1062905567700065,4h,stop,6133.0,False,1.75,4.0,dirty
1739546400,2025-02-14T10:20:00-05:00,RR,frontrun,long,6139.75,6133.0,6153.9674612581975,0.0,3,"cluster_rej,weekly_rej_support,confirm_long",first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2.1062905567700065,session,no_data,6139.75,False,1.75,4.0,dirty
