entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,reasoning,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1742276700,2025-03-18 05:45:00+00:00,2025-03-18 01:45:00-04:00,2025-03-18,AS,long,5713.5,5726.75,5756.564014036677,intraday_pct_level,3.2501142669190024,"wddrb_long=0.79, wddrb_short=0.05, rej_count=41, wick=0.49, conf=1.78, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1742438400,2025-03-20 02:40:00+00:00,2025-03-19 22:40:00-04:00,2025-03-19,AS,long,5752.75,5749.5,5770.5,prev_wddrb_hi,5.461538461538462,"wddrb_long=0.79, wddrb_short=0.05, rej_count=14, wick=0.43, conf=1.14, target=prev_wddrb_hi",open,0.0,open,0.0,open,0.0,open,0.0
1742862900,2025-03-25 00:35:00+00:00,2025-03-24 20:35:00-04:00,2025-03-24,AS,long,5810.25,5805.25,5825.5,prev_wddrb_hi,3.05,"wddrb_long=0.79, wddrb_short=0.05, rej_count=30, wick=0.43, conf=1.44, target=prev_wddrb_hi",open,0.0,open,0.0,open,0.0,open,0.0
1742960400,2025-03-26 03:40:00+00:00,2025-03-25 23:40:00-04:00,2025-03-25,AS,long,5824.0,5821.875,5831.798335974643,intraday_pct_level,3.6698051645379404,"wddrb_long=0.79, wddrb_short=0.05, rej_count=18, wick=0.44, conf=1.24, target=intraday_pct_level",open,0.0,open,0.0,stop,-1.0,open,0.0
1742976000,2025-03-26 08:00:00+00:00,2025-03-26 04:00:00-04:00,2025-03-26,OS,long,5822.75,5821.875,5827.512522631261,intraday_pct_level,5.442883007155615,"wddrb_long=0.79, wddrb_short=0.05, rej_count=26, wick=0.42, conf=1.37, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1743058200,2025-03-27 06:50:00+00:00,2025-03-27 02:50:00-04:00,2025-03-27,TO,short,5764.5,5770.5,5743.0,prev_wddrb_lo,3.5833333333333335,"wddrb_long=0.00, wddrb_short=1.00, rej_count=6, wick=0.50, conf=1.13, target=prev_wddrb_lo",open,0.0,tp,3.5833333333333335,tp,3.5833333333333335,open,0.0
1743477000,2025-04-01 03:10:00+00:00,2025-03-31 23:10:00-04:00,2025-03-31,AS,long,5639.75,5635.25,5672.75,prev_wddrb_hi,7.333333333333333,"wddrb_long=0.79, wddrb_short=0.05, rej_count=17, wick=0.41, conf=1.26, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1744191000,2025-04-09 09:30:00+00:00,2025-04-09 05:30:00-04:00,2025-04-09,OS,short,5020.5,4987.0,4877.322473404255,intraday_pct_level,4.27395601778343,"wddrb_long=0.00, wddrb_short=1.00, rej_count=5, wick=0.40, conf=1.28, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1744590900,2025-04-14 00:35:00+00:00,2025-04-13 20:35:00-04:00,2025-04-13,AS,long,5436.5,5436.0,5439.82527733756,intraday_pct_level,6.650554675119565,"wddrb_long=1.00, wddrb_short=0.00, rej_count=17, wick=0.41, conf=1.85, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1745283600,2025-04-22 01:00:00+00:00,2025-04-21 21:00:00-04:00,2025-04-21,AS,short,5207.75,5206.5,5201.0,asia_low,5.4,"wddrb_long=0.05, wddrb_short=0.75, rej_count=8, wick=0.62, conf=1.75, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
