ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,condition,expectation,invalidation,weekly_override,horizon,outcome,exit_price,ambiguous,rej_move_away,rej_retest_count,rej_quality
1739370600,2025-02-12T09:30:00-05:00,RR,range_start,long,6030.75,6023.75,6101.346155968923,3.2142857142857144,rejection bias + confluence,THEN expect rotation toward 6101.35.,"IF price breaks 6023.75, THEN long thesis invalid.",False,session,timeout,6053.25,False,25.25,1.0,clean
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,1h,stop,6137.5,False,-1.0,2.0,dirty
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,2h,stop,6137.5,False,-1.0,2.0,dirty
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,4h,stop,6137.5,False,-1.0,2.0,dirty
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,session,stop,6137.5,False,-1.0,2.0,dirty
1739782800,2025-02-17T04:00:00-05:00,OS,after_formed,short,6138.5,6140.5,6120.839395701599,-1.0,perfect rejection + box down,THEN expect rotation toward 6120.84.,"IF price breaks 6140.50, THEN short thesis invalid.",False,1h,stop,6140.5,False,0.25,2.0,dirty
1739782800,2025-02-17T04:00:00-05:00,OS,after_formed,short,6138.5,6140.5,6120.839395701599,-1.0,perfect rejection + box down,THEN expect rotation toward 6120.84.,"IF price breaks 6140.50, THEN short thesis invalid.",False,2h,stop,6140.5,False,0.25,2.0,dirty
1739782800,2025-02-17T04:00:00-05:00,OS,after_formed,short,6138.5,6140.5,6120.839395701599,-1.0,perfect rejection + box down,THEN expect rotation toward 6120.84.,"IF price breaks 6140.50, THEN short thesis invalid.",False,4h,stop,6140.5,False,0.25,2.0,dirty
1739782800,2025-02-17T04:00:00-05:00,OS,after_formed,short,6138.5,6140.5,6120.839395701599,-1.0,perfect rejection + box down,THEN expect rotation toward 6120.84.,"IF price breaks 6140.50, THEN short thesis invalid.",False,session,stop,6140.5,False,0.25,2.0,dirty
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,1h,stop,6139.0,False,2.0,2.0,mixed
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,2h,stop,6139.0,False,2.0,2.0,mixed
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,4h,stop,6139.0,False,2.0,2.0,mixed
1739543400,2025-02-14T09:30:00-05:00,RR,range_start,short,6134.5,6139.0,6116.334049199531,-1.0,rejection bias + confluence,THEN expect rotation toward 6116.33.,"IF price breaks 6139.00, THEN short thesis invalid.",False,session,stop,6139.0,False,2.0,2.0,mixed
1739547000,2025-02-14T10:30:00-05:00,RS,after_formed,long,6137.75,6133.0,6153.9674612581975,-1.0,first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,1h,stop,6133.0,False,4.25,4.0,dirty
1739547000,2025-02-14T10:30:00-05:00,RS,after_formed,long,6137.75,6133.0,6153.9674612581975,-1.0,first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,2h,stop,6133.0,False,4.25,4.0,dirty
1739547000,2025-02-14T10:30:00-05:00,RS,after_formed,long,6137.75,6133.0,6153.9674612581975,-1.0,first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,4h,stop,6133.0,False,4.25,4.0,dirty
1739547000,2025-02-14T10:30:00-05:00,RS,after_formed,long,6137.75,6133.0,6153.9674612581975,-1.0,first break true + confirm,THEN expect rotation toward 6153.97.,"IF price breaks 6133.00, THEN long thesis invalid.",False,session,stop,6133.0,False,4.25,4.0,dirty
1739806200,2025-02-17T10:30:00-05:00,RS,after_formed,short,6140.25,6144.5,6119.5982192424935,-1.0,perfect rejection + box down,THEN expect rotation toward 6119.60.,"IF price breaks 6144.50, THEN short thesis invalid.",False,1h,stop,6144.5,False,0.75,6.0,dirty
1739806200,2025-02-17T10:30:00-05:00,RS,after_formed,short,6140.25,6144.5,6119.5982192424935,-1.0,perfect rejection + box down,THEN expect rotation toward 6119.60.,"IF price breaks 6144.50, THEN short thesis invalid.",False,2h,stop,6144.5,False,0.75,6.0,dirty
1739806200,2025-02-17T10:30:00-05:00,RS,after_formed,short,6140.25,6144.5,6119.5982192424935,-1.0,perfect rejection + box down,THEN expect rotation toward 6119.60.,"IF price breaks 6144.50, THEN short thesis invalid.",False,4h,stop,6144.5,False,0.75,6.0,dirty
1739806200,2025-02-17T10:30:00-05:00,RS,after_formed,short,6140.25,6144.5,6119.5982192424935,-1.0,perfect rejection + box down,THEN expect rotation toward 6119.60.,"IF price breaks 6144.50, THEN short thesis invalid.",False,session,stop,6144.5,False,0.75,6.0,dirty
1739892600,2025-02-18T10:30:00-05:00,RS,after_formed,long,6130.75,6128.75,6165.28900832749,2.75,rejection bias + confluence,THEN expect rotation toward 6165.29.,"IF price breaks 6128.75, THEN long thesis invalid.",False,1h,timeout,6136.25,False,9.75,2.0,mixed
1739892600,2025-02-18T10:30:00-05:00,RS,after_formed,long,6130.75,6128.75,6165.28900832749,2.125,rejection bias + confluence,THEN expect rotation toward 6165.29.,"IF price breaks 6128.75, THEN long thesis invalid.",False,2h,timeout,6135.0,False,9.75,2.0,mixed
1739892600,2025-02-18T10:30:00-05:00,RS,after_formed,long,6130.75,6128.75,6165.28900832749,-1.0,rejection bias + confluence,THEN expect rotation toward 6165.29.,"IF price breaks 6128.75, THEN long thesis invalid.",False,4h,stop,6128.75,False,9.75,2.0,mixed
1739892600,2025-02-18T10:30:00-05:00,RS,after_formed,long,6130.75,6128.75,6165.28900832749,-1.0,rejection bias + confluence,THEN expect rotation toward 6165.29.,"IF price breaks 6128.75, THEN long thesis invalid.",False,session,stop,6128.75,False,9.75,2.0,mixed
1740387600,2025-02-24T04:00:00-05:00,OS,after_formed,long,6057.25,6051.875,6079.678545724125,0.9302325581395349,perfect rejection + box up,THEN expect rotation toward 6079.68.,"IF price breaks 6051.88, THEN long thesis invalid.",False,1h,timeout,6062.25,False,10.25,0.0,clean
1740387600,2025-02-24T04:00:00-05:00,OS,after_formed,long,6057.25,6051.875,6079.678545724125,0.23255813953488372,perfect rejection + box up,THEN expect rotation toward 6079.68.,"IF price breaks 6051.88, THEN long thesis invalid.",False,2h,timeout,6058.5,False,10.25,0.0,clean
1740387600,2025-02-24T04:00:00-05:00,OS,after_formed,long,6057.25,6051.875,6079.678545724125,0.5116279069767442,perfect rejection + box up,THEN expect rotation toward 6079.68.,"IF price breaks 6051.88, THEN long thesis invalid.",False,4h,timeout,6060.0,False,10.25,0.0,clean
1740387600,2025-02-24T04:00:00-05:00,OS,after_formed,long,6057.25,6051.875,6079.678545724125,0.6046511627906976,perfect rejection + box up,THEN expect rotation toward 6079.68.,"IF price breaks 6051.88, THEN long thesis invalid.",False,session,timeout,6060.5,False,10.25,0.0,clean
1740407400,2025-02-24T09:30:00-05:00,RR,range_start,long,6050.0,6048.0,6079.678545724125,-1.0,rejection bias + confluence,THEN expect rotation toward 6079.68.,"IF price breaks 6048.00, THEN long thesis invalid.",False,1h,stop,6048.0,False,1.75,1.0,mixed
1740407400,2025-02-24T09:30:00-05:00,RR,range_start,long,6050.0,6048.0,6079.678545724125,-1.0,rejection bias + confluence,THEN expect rotation toward 6079.68.,"IF price breaks 6048.00, THEN long thesis invalid.",False,2h,stop,6048.0,False,1.75,1.0,mixed
1740407400,2025-02-24T09:30:00-05:00,RR,range_start,long,6050.0,6048.0,6079.678545724125,-1.0,rejection bias + confluence,THEN expect rotation toward 6079.68.,"IF price breaks 6048.00, THEN long thesis invalid.",False,4h,stop,6048.0,False,1.75,1.0,mixed
1740407400,2025-02-24T09:30:00-05:00,RR,range_start,long,6050.0,6048.0,6079.678545724125,-1.0,rejection bias + confluence,THEN expect rotation toward 6079.68.,"IF price breaks 6048.00, THEN long thesis invalid.",False,session,stop,6048.0,False,1.75,1.0,mixed
1741311000,2025-03-06T20:30:00-05:00,AS,after_formed,long,5768.5,5761.75,5804.478197240689,-0.25925925925925924,first break true + confirm,THEN expect rotation toward 5804.48.,"IF price breaks 5761.75, THEN long thesis invalid.",False,1h,timeout,5766.75,False,1.5,6.0,dirty
1741311000,2025-03-06T20:30:00-05:00,AS,after_formed,long,5768.5,5761.75,5804.478197240689,-1.0,first break true + confirm,THEN expect rotation toward 5804.48.,"IF price breaks 5761.75, THEN long thesis invalid.",False,2h,stop,5761.75,False,1.5,6.0,dirty
1741311000,2025-03-06T20:30:00-05:00,AS,after_formed,long,5768.5,5761.75,5804.478197240689,-1.0,first break true + confirm,THEN expect rotation toward 5804.48.,"IF price breaks 5761.75, THEN long thesis invalid.",False,4h,stop,5761.75,False,1.5,6.0,dirty
1741311000,2025-03-06T20:30:00-05:00,AS,after_formed,long,5768.5,5761.75,5804.478197240689,-1.0,first break true + confirm,THEN expect rotation toward 5804.48.,"IF price breaks 5761.75, THEN long thesis invalid.",False,session,stop,5761.75,False,1.5,6.0,dirty
1742257800,2025-03-17T20:30:00-04:00,AS,after_formed,short,5727.25,5733.0,5669.839812561737,0.8695652173913043,first break true + confirm,THEN expect rotation toward 5669.84.,"IF price breaks 5733.00, THEN short thesis invalid.",False,1h,timeout,5722.25,False,1.75,6.0,dirty
1742257800,2025-03-17T20:30:00-04:00,AS,after_formed,short,5727.25,5733.0,5669.839812561737,1.608695652173913,first break true + confirm,THEN expect rotation toward 5669.84.,"IF price breaks 5733.00, THEN short thesis invalid.",False,2h,timeout,5718.0,False,1.75,6.0,dirty
1742257800,2025-03-17T20:30:00-04:00,AS,after_formed,short,5727.25,5733.0,5669.839812561737,2.347826086956522,first break true + confirm,THEN expect rotation toward 5669.84.,"IF price breaks 5733.00, THEN short thesis invalid.",False,4h,timeout,5713.75,False,1.75,6.0,dirty
1742257800,2025-03-17T20:30:00-04:00,AS,after_formed,short,5727.25,5733.0,5669.839812561737,2.347826086956522,first break true + confirm,THEN expect rotation toward 5669.84.,"IF price breaks 5733.00, THEN short thesis invalid.",False,session,timeout,5713.75,False,1.75,6.0,dirty
1742457600,2025-03-20T04:00:00-04:00,OS,after_formed,short,5749.5,5751.5,5732.725083377943,-1.0,perfect rejection + box down,THEN expect rotation toward 5732.73.,"IF price breaks 5751.50, THEN short thesis invalid.",False,1h,stop,5751.5,False,-1.5,0.0,dirty
