entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2013-12-02 12:25:00+00:00,2013-12-20 15:45:00+00:00,SHORT,1803.0,1812.5,1812.5,0.0,-9.5,-1.0,3862,stop,breakout,wddrb_high,prior_day_low
2013-12-23 13:35:00+00:00,2013-12-23 13:40:00+00:00,SHORT,1823.0,1823.5,1823.5,0.0,-0.5,-1.0,1,stop,range_forming,intraday_high,asia_low
2013-12-23 17:50:00+00:00,2013-12-24 09:35:00+00:00,SHORT,1823.25,1824.5,1824.5,0.0,-1.25,-1.0,174,stop,breakout,wddrb_high,asia_low
2013-12-24 11:35:00+00:00,2013-12-24 14:35:00+00:00,SHORT,1823.25,1824.5,1824.5,0.0,-1.25,-1.0,36,stop,breakout,wddrb_high,prior_day_low
2013-12-26 14:55:00+00:00,2013-12-26 15:25:00+00:00,LONG,1831.5,1833.0,1831.25,1833.0,1.5,6.0,6,target,range_forming,intraday_low,wddrb_high
2013-12-27 15:10:00+00:00,2013-12-31 15:00:00+00:00,SHORT,1838.75,1840.0,1840.0,0.0,-1.25,-1.0,541,stop,range_forming,wddrb_high,asia_low
2013-12-31 18:35:00+00:00,2013-12-31 20:45:00+00:00,SHORT,1841.25,1843.5,1843.5,0.0,-2.25,-1.0,26,stop,breakout,wddrb_high,asia_low
2014-01-02 17:00:00+00:00,2014-01-02 17:25:00+00:00,LONG,1827.75,1825.5,1825.5,1838.0,-2.25,-1.0,5,stop,breakout,wddrb_low,wddrb_high
2014-01-02 20:15:00+00:00,2014-01-09 09:55:00+00:00,SHORT,1828.25,1838.0,1838.0,0.0,-9.75,-1.0,1241,stop,breakout,wddrb_high,asia_low
2014-01-09 15:55:00+00:00,2014-01-09 16:05:00+00:00,LONG,1827.75,1825.5,1825.5,1838.0,-2.25,-1.0,2,stop,breakout,wddrb_low,wddrb_high
2014-01-10 08:45:00+00:00,2014-01-10 09:15:00+00:00,SHORT,1837.0,1838.0,1838.0,0.0,-1.0,-1.0,6,stop,range_forming,wddrb_high,prior_day_low
2014-01-10 11:20:00+00:00,2014-01-13 18:00:00+00:00,LONG,1839.25,1824.25,1824.25,1884.25,-15.0,-1.0,353,stop,breakout,wddrb_low,min_rr
2014-01-14 01:30:00+00:00,2014-01-15 14:15:00+00:00,SHORT,1815.75,1838.25,1838.25,0.0,-22.5,-1.0,426,stop,range_forming,wddrb_high,prior_day_low
2014-01-15 20:00:00+00:00,2014-02-24 14:45:00+00:00,SHORT,1844.25,1845.75,1845.75,0.0,-1.5,-1.0,7455,stop,breakout,wddrb_high,asia_low
2014-02-25 10:00:00+00:00,2014-02-28 14:40:00+00:00,SHORT,1843.0,1856.75,1856.75,0.0,-13.75,-1.0,875,stop,range_forming,wddrb_high,prior_day_low
2014-02-28 20:00:00+00:00,2014-02-28 20:05:00+00:00,LONG,1853.0,1849.75,1849.75,1866.5,-3.25,-1.0,1,stop,breakout,wddrb_low,wddrb_high
2014-03-03 04:45:00+00:00,2014-03-04 14:50:00+00:00,SHORT,1840.75,1866.5,1866.5,0.0,-25.75,-1.0,394,stop,breakout,wddrb_high,prior_day_low
2014-03-04 21:05:00+00:00,2014-03-05 12:30:00+00:00,SHORT,1870.5,1874.75,1874.75,0.0,-4.25,-1.0,170,stop,range_forming,wddrb_high,asia_low
2014-03-05 15:05:00+00:00,2014-03-05 15:25:00+00:00,SHORT,1872.75,1874.0,1874.0,0.0,-1.25,-1.0,4,stop,range_forming,wddrb_high,asia_low
2014-03-05 18:30:00+00:00,2014-03-06 04:00:00+00:00,SHORT,1873.5,1875.5,1875.5,0.0,-2.0,-1.0,99,stop,range_forming,wddrb_high,asia_low
2014-03-06 07:55:00+00:00,2014-03-06 08:00:00+00:00,SHORT,1876.0,1876.25,1876.25,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2014-03-06 12:40:00+00:00,2014-03-06 12:55:00+00:00,SHORT,1875.25,1875.5,1875.5,0.0,-0.25,-1.0,3,stop,breakout,wddrb_high,prior_day_low
2014-03-06 18:40:00+00:00,2014-03-06 18:45:00+00:00,LONG,1876.5,1876.0,1876.0,1881.0,-0.5,-1.0,1,stop,range_forming,wddrb_low,wddrb_high
2014-03-07 02:25:00+00:00,2014-03-07 13:30:00+00:00,SHORT,1878.0,1881.0,1881.0,0.0,-3.0,-1.0,133,stop,breakout,wddrb_high,prior_day_low
2014-03-10 00:15:00+00:00,2014-03-10 07:00:00+00:00,LONG,1875.5,1869.25,1869.25,1894.25,-6.25,-1.0,81,stop,range_forming,wddrb_low,min_rr
2014-03-10 14:30:00+00:00,2014-03-10 14:35:00+00:00,LONG,1869.0,1868.75,1868.75,1877.25,-0.25,-1.0,1,stop,breakout,wddrb_low,wddrb_high
2014-03-11 03:40:00+00:00,2014-03-11 06:50:00+00:00,SHORT,1876.5,1877.5,1877.5,0.0,-1.0,-1.0,38,stop,breakout,wddrb_high,prior_day_low
2014-03-11 13:00:00+00:00,2014-03-11 13:05:00+00:00,SHORT,1878.0,1878.75,1878.75,0.0,-0.75,-1.0,1,stop,range_forming,intraday_high,asia_low
2014-03-11 15:40:00+00:00,2014-04-02 01:10:00+00:00,SHORT,1874.25,1882.25,1882.25,0.0,-8.0,-1.0,4195,stop,breakout,wddrb_high,asia_low
2014-04-02 11:05:00+00:00,2014-04-02 11:10:00+00:00,SHORT,1879.5,1880.25,1880.25,0.0,-0.75,-1.0,1,stop,breakout,intraday_high,prior_day_low
2014-04-02 13:15:00+00:00,2014-04-04 16:05:00+00:00,LONG,1878.5,1869.25,1869.25,1906.25,-9.25,-1.0,581,stop,range_forming,wddrb_low,min_rr
2014-04-04 19:30:00+00:00,2014-04-07 06:05:00+00:00,LONG,1860.5,1855.75,1855.75,1892.25,-4.75,-1.0,112,stop,breakout,wddrb_low,wddrb_high
2014-04-07 08:20:00+00:00,2014-05-12 19:00:00+00:00,SHORT,1853.5,1892.25,1892.25,0.0,-38.75,-1.0,6681,stop,range_forming,wddrb_high,prior_day_low
2014-05-13 00:40:00+00:00,2014-05-13 00:45:00+00:00,SHORT,1894.0,1894.25,1894.25,1881.75,-0.25,-1.0,1,stop,range_forming,intraday_high,wddrb_low
2014-05-13 10:15:00+00:00,2014-05-15 11:35:00+00:00,LONG,1895.5,1881.75,1881.75,1936.75,-13.75,-1.0,562,stop,breakout,wddrb_low,min_rr
2014-05-15 13:30:00+00:00,2014-05-19 15:10:00+00:00,SHORT,1879.0,1881.5,1881.5,0.0,-2.5,-1.0,566,stop,range_forming,wddrb_high,asia_low
2014-05-19 20:10:00+00:00,2014-05-20 07:25:00+00:00,SHORT,1882.5,1883.0,1883.0,0.0,-0.5,-1.0,120,stop,range_forming,wddrb_high,asia_low
2014-05-20 10:55:00+00:00,2014-05-20 11:05:00+00:00,SHORT,1881.25,1883.0,1883.0,0.0,-1.75,-1.0,2,stop,breakout,wddrb_high,prior_day_low
2014-05-20 13:25:00+00:00,2014-05-20 17:10:00+00:00,LONG,1880.5,1869.25,1869.25,1914.25,-11.25,-1.0,45,stop,range_forming,wddrb_low,min_rr
2014-05-21 01:05:00+00:00,2014-05-21 13:35:00+00:00,SHORT,1867.75,1880.75,1880.75,0.0,-13.0,-1.0,150,stop,range_forming,wddrb_high,prior_day_low
2014-05-21 22:15:00+00:00,2014-05-22 01:45:00+00:00,SHORT,1884.0,1886.5,1886.5,0.0,-2.5,-1.0,42,stop,range_forming,wddrb_high,asia_low
2014-05-22 04:10:00+00:00,2014-05-22 04:15:00+00:00,SHORT,1889.75,1890.0,1890.0,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2014-05-22 08:35:00+00:00,2014-05-22 13:45:00+00:00,SHORT,1887.25,1887.75,1887.75,0.0,-0.5,-1.0,62,stop,range_forming,intraday_high,prior_day_low
2014-05-23 04:35:00+00:00,2014-05-23 14:05:00+00:00,SHORT,1891.75,1894.0,1894.0,0.0,-2.25,-1.0,114,stop,breakout,wddrb_high,prior_day_low
2014-05-23 16:30:00+00:00,2014-05-23 16:35:00+00:00,SHORT,1897.0,1897.25,1897.25,0.0,-0.25,-1.0,1,stop,breakout,wddrb_high,asia_low
2014-05-26 00:10:00+00:00,2014-05-26 06:50:00+00:00,SHORT,1897.25,1899.25,1899.25,0.0,-2.0,-1.0,80,stop,range_forming,wddrb_high,asia_low
2014-05-26 09:35:00+00:00,2014-05-26 09:40:00+00:00,SHORT,1900.75,1901.0,1901.0,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,prior_day_low
2014-05-26 14:50:00+00:00,2014-05-26 14:55:00+00:00,SHORT,1903.75,1904.0,1904.0,0.0,-0.25,-1.0,1,stop,range_forming,wddrb_high,asia_low
2014-05-26 23:50:00+00:00,2014-05-27 08:35:00+00:00,SHORT,1902.25,1904.75,1904.75,0.0,-2.5,-1.0,105,stop,range_forming,wddrb_high,asia_low
2014-05-27 10:35:00+00:00,2014-05-29 19:00:00+00:00,LONG,1905.5,1916.75,1901.75,1916.75,11.25,3.0,647,target,breakout,wddrb_low,min_rr
